"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1855851993958617258","Mon Nov 11 05:56:10 +0000 2024","0","10 daerah udah setara negara maju nih menurut kalian cocok nggak? #airlanggahartarto #prabowo #jokowi #menteriprabowo #gibran #politics #ekonomi #kabinetmerahputih #fyptwitter https://t.co/pfaQ3OZtQO","1855851993958617258","https://pbs.twimg.com/ext_tw_video_thumb/1855851908415758336/pu/img/sOFSctUJKc3T6iB2.jpg","","in","Indonesia","0","0","0","https://x.com/monitordaycom/status/1855851993958617258","70600007","monitordaycom"
"1855816672059482545","Mon Nov 11 03:35:48 +0000 2024","1","Masyarakat mendukung penuh Pemerintahan Presiden Prabowo Subianto. Harapan masyarakat agar pemerintahan yang baru dapat mewujudkan keadilan dan kesejahteraan bagi rakyat Indonesia. #AstaCita #PrabowoSubianto #KabinetMerahPutih #IndonesiaEmas2045 #IndonesiaMaju https://t.co/gBdl34eOLx","1855816672059482545","https://pbs.twimg.com/ext_tw_video_thumb/1855816550214942720/pu/img/Nc2fn1lecLBxGPXg.jpg","","in","Moluccas, Indonesia","0","0","0","https://x.com/Yunita_Mahusiwa/status/1855816672059482545","1413614504273797124","Yunita_Mahusiwa"
"1855804030695698530","Mon Nov 11 02:45:34 +0000 2024","0","Presiden RI Prabowo Subianto memperkenalkan Kabinet Merah Putih kepada Presiden China Xi Jinping dalam pertemuan resmi di Beijing Sabtu 9 November 2024. #PrabowoSubianto #KabinetMerahPutih #IndonesiaChina #Beijing2024 #PemerintahRI #AyobacaNews https://t.co/zYd7rbCILa","1855804030695698530","","","in","Kota Bandung, Jawa Barat","0","0","0","https://x.com/ayobacanews/status/1855804030695698530","1645766699940192260","ayobacanews"
"1855803870469095878","Mon Nov 11 02:44:56 +0000 2024","0","Kemenkop akan membentuk satgas Revitalisasi Koperasi Bermasalah Saya beserta seluruh jajaran Kementerian Koperasi berkomitmen untuk menindaklanjuti koperasi bermasalah dengan membentuk Satgas Revitalisasi. #budiariesetiadi #BudiArie #projo #projokabtangerang #kabinetmerahputih https://t.co/oP0QkeyY6V","1855803870469095878","https://pbs.twimg.com/media/GcEju0HbYAALKBU.jpg","","in","kabupaten tangerang","0","0","0","https://x.com/ProjoKabTNG/status/1855803870469095878","1840712052140335104","ProjoKabTNG"
"1855798129708425536","Mon Nov 11 02:22:07 +0000 2024","258","Alhamdulillah saya berkesempatan memimpin delegasi Indonesia pada Pertemuan Persiapan Konferensi Tingkat Tinggi (KTT) Luar Biasa Organisasi Kerja Sama Islam (OKI) dan Liga Arab di Riyadh pada 10 November 2024. #anismatta #kemlu #kabinetmerahputih #inidiplomasi #oki #oic https://t.co/Ug553auqWj","1855798129708425536","https://pbs.twimg.com/media/GcEejjKaMAAC82n.jpg","","in","Indonesia","8","27","54","https://x.com/anismatta/status/1855798129708425536","109543367","anismatta"
"1855745253569106417","Sun Nov 10 22:52:01 +0000 2024","0","Tegas Dan Transparansi dalam memberantas Korupsi Kejagung jadi Garda terdepan dalam pemberantasan Korupsi. #LoyalitasKejagung #FebrieArdiansyah #JampidsusDiuntit #BagimuNegeri #UsutTuntas #fyp #cepatfyp #tranding #vidios #prabowo #kabinet #kabinetmerahputih #tren #news https://t.co/mxrjVM0fha","1855745253569106417","https://pbs.twimg.com/ext_tw_video_thumb/1855745160577249280/pu/img/8QOUnWycSXAxTSgh.jpg","","in","","0","0","0","https://x.com/johnna1981/status/1855745253569106417","2830366126","johnna1981"
"1855592001116537201","Sun Nov 10 12:43:02 +0000 2024","0","Program Prabowo Luar Biasa! Makan Bergizi Gratis Jadi Intervensi Langsung Atasi Stunting #prabowo #presidenprabowo #kabinetmerahputih #indonesiamaju https://t.co/4O9vdJ9TK3","1855592001116537201","https://pbs.twimg.com/ext_tw_video_thumb/1855591953993494528/pu/img/MlDIAeza6jJWnl0i.jpg","","in","Kediri, Jawa Timur","0","0","0","https://x.com/Cahayaemasnkri/status/1855592001116537201","1661953573532618759","Cahayaemasnkri"
"1855591814990049531","Sun Nov 10 12:42:18 +0000 2024","0","Menteri Komunikasi dan Digital (Menkomdigi) Meutya Hafid mengatakan lawatan Presiden Prabowo Subianto ke sejumlah negara merupakan wujud peran Indonesia di dunia internasional. #prabowo #presidenprabowo #kabinetmerahputih #indonesiamaju https://t.co/9i8shsfuQs","1855591814990049531","https://pbs.twimg.com/media/GcBi6o6bkAA8aPU.jpg","","in","Kediri, Jawa Timur","0","0","0","https://x.com/Cahayaemasnkri/status/1855591814990049531","1661953573532618759","Cahayaemasnkri"
"1855531079391940699","Sun Nov 10 12:27:32 +0000 2024","0","@M45Broo_ @prabowo @gibran_tweet @KemenkeuRI @PolkamRI @Kemhan_RI @KSPgoid @KemensetnegRI @SetwapresRI @Puspen_TNI @setkabgoid Aduan sy ke #PresidenJokowi sjk 2014 MANDUL hasilnya #PresidenRI #Prabowo #PresidenPrabowoSubianto #SjafrieSjamsoeddin #MenhanRI #Kemendagri #KabinetMerahPutih #KemensetnegRI #SetwapresRI @Kemhan_RI #TNI #PotretKabinet","1855588098169844168","","66Maxmara","in","","0","0","0","https://x.com/66Maxmara/status/1855588098169844168","1603571644030939136","66Maxmara"
"1855533110945026371","Sun Nov 10 08:49:02 +0000 2024","0","bersama kita dukung pemerintahan prabowo gibran #kabinetmerahputih #prabowogibran #indonesia #VisiPresidenPrabowo https://t.co/fjpG4bwZP5","1855533110945026371","https://pbs.twimg.com/ext_tw_video_thumb/1855532828894896128/pu/img/Wem2Rl1wmYe4okCj.jpg","","in","","0","0","0","https://x.com/dendi_SQ/status/1855533110945026371","2444824538","dendi_SQ"
